648     , -603.746    , array([ 0.532249   ,  0.829844   ])
[0.53224936 0.82901488]
650     , -572.238    , array([ 0.331447   ,  0.849315   ])
652     , -394.057    , array([ 0.225553   ,  2.13837    ])
654     , -394.054    , array([ 0.225553   ,  2.14051    ])
[0.22555331 2.13837278]
656     , -617.663    , array([ 0.331447   ,  0.770472   ])
658     , -394.656    , array([ 0.236756   ,  1.97647    ])
660     , -394.648    , array([ 0.236756   ,  1.97844    ])
[0.23675575 1.97646633]
662     , -855.044    , array([ 0.331447   ,  0.506166   ])
664     , -429.71     , array([ 0.326323   ,  1.37575    ])
666     , -429.56     , array([ 0.326323   ,  1.37713    ])
[0.32632338 1.3757546 ]
668     , -528.115    , array([ 0.331447   ,  0.946678   ])
670     , -393.829    , array([ 0.215376   ,  2.33496    ])
672     , -393.828    , array([ 0.215376   ,  2.33729    ])
[0.21537558 2.33495525]
674     , -709.976    , array([ 0.331447   ,  0.647507   ])
676     , -398.755    , array([ 0.264061   ,  1.71504    ])
678     , -398.722    , array([ 0.264061   ,  1.71675    ])
[0.26406088 1.71503612]
680     , -1072.81    , array([ 0.331447   ,  0.344979   ])
682     , -602.72     , array([ 0.529488   ,  0.834178   ])
684     , -602.408    , array([ 0.529488   ,  0.835013   ])
[0.52948754 0.83417818]
686     , -673.62     , array([ 0.331447   ,  0.691517   ])
688     , -396.457    , array([ 0.252559   ,  1.81079    ])
690     , -396.438    , array([ 0.252559   ,  1.8126     ])
[0.25255882 1.81078784]
692     , -1256.24    , array([ 0.331447   ,  0.17247    ])
694     , -447.047    , array([ 0.899394   ,  0.165936   ])
696     , -447.085    , array([ 0.899394   ,  0.166102   ])
[0.89939393 0.16593603]
698     , -685.762    , array([ 0.331447   ,  0.676285   ])
700     , -397.081    , array([ 0.255944   ,  1.77737    ])
702     , -397.058    , array([ 0.255944   ,  1.77915    ])
[0.25594404 1.77736981]
704     , -621.904    , array([ 0.331447   ,  0.76389    ])
706     , -394.742    , array([ 0.237895   ,  1.96291    ])
708     , -394.734    , array([ 0.237895   ,  1.96487    ])
[0.23789516 1.9629074 ]
710     , -843.87     , array([ 0.331447   ,  0.515667   ])
712     , -425.237    , array([ 0.319922   ,  1.4009     ])
714     , -425.1      , array([ 0.319922   ,  1.4023     ])
[0.31992236 1.40089913]
716     , -633.876    , array([ 0.331447   ,  0.7459     ])
718     , -395.023    , array([ 0.241183   ,  1.9257     ])
720     , -395.013    , array([ 0.241183   ,  1.92763    ])
[0.24118282 1.92570206]
722     , -1067.96    , array([ 0.331447   ,  0.0886913  ])
724     , -430.846    , array([ 0.818585   ,  0.0579734  ])
726     , -430.894    , array([ 0.818585   ,  0.0580315  ])
[0.8185852  0.05797345]
728     , -710.154    , array([ 0.331447   ,  0.647303   ])
730     , -398.756    , array([ 0.263934   ,  1.7143     ])
732     , -398.724    , array([ 0.263934   ,  1.71602    ])
[0.26393448 1.71430485]
734     , -1179.05    , array([ 0.331447   ,  0.270656   ])
736     , -593.39     , array([ 0.73316    ,  0.496506   ])
738     , -593.296    , array([ 0.73316    ,  0.497003   ])
740     , -1253.59    , array([ 17.6405    ,  5.62274    ])
742     , -50.34      , array([ 2.64716    ,  1.3229     ])
744     , -50.3697    , array([ 2.64716    ,  1.32422    ])
[2.64715888 1.32289703]
746     , -637.909    , array([ 0.331447   ,  0.740023   ])
748     , -395.128    , array([ 0.242162   ,  1.9131     ])
750     , -395.117    , array([ 0.242162   ,  1.91501    ])
[0.24216184 1.9130999 ]
752     , -983.259    , array([ 0.331447   ,  0.407228   ])
754     , -517.707    , array([ 0.420505   ,  1.07534    ])
756     , -517.398    , array([ 0.420505   ,  1.07642    ])
[0.42050522 1.075344  ]
758     , -673.615    , array([ 0.331447   ,  0.691523   ])
760     , -396.457    , array([ 0.252553   ,  1.81079    ])
762     , -396.438    , array([ 0.252553   ,  1.8126     ])
[0.25255316 1.81079057]
764     , -836.823    , array([ 0.331447   ,  0.521751   ])
766     , -422.858    , array([ 0.316824   ,  1.41689    ])
768     , -422.729    , array([ 0.316824   ,  1.4183     ])
[0.31682376 1.41688579]
770     , -966.34     , array([ 0.331447   ,  0.071603   ])
772     , -423.717    , array([ 0.798429   ,  0.0445448  ])
774     , -423.759    , array([ 0.798429   ,  0.0445893  ])
[0.79842938 0.04454478]
776     , -806.35     , array([ 0.336331   ,  0.0521943  ])
778     , -412.493    , array([ 0.790297   ,  0.0310892  ])
780     , -412.522    , array([ 0.790297   ,  0.0311203  ])
[0.79029664 0.03108922]
782     , -518.567    , array([ 0.336331   ,  0.978683   ])
784     , -393.811    , array([ 0.217666   ,  2.40922    ])
786     , -393.81     , array([ 0.217666   ,  2.41163    ])
[0.2176665  2.40921826]
788     , -668.708    , array([ 0.336331   ,  0.700727   ])
790     , -396.477    , array([ 0.257429   ,  1.83719    ])
792     , -396.458    , array([ 0.257429   ,  1.83903    ])
[0.25742852 1.83719331]
794     , -1166.76    , array([ 0.336331   ,  0.117317   ])
796     , -434.099    , array([ 0.865449   ,  0.0848733  ])
798     , -434.145    , array([ 0.865449   ,  0.0849582  ])
[0.86544864 0.08487332]
800     , -1070.44    , array([ 0.336331   ,  0.3438     ])
802     , -602.907    , array([ 0.555539   ,  0.81602    ])
804     , -602.616    , array([ 0.555539   ,  0.816836   ])
[0.55553872 0.81601961]
806     , -574.862    , array([ 0.336331   ,  0.849315   ])
808     , -394.113    , array([ 0.23138    ,  2.1479     ])
810     , -394.11     , array([ 0.23138    ,  2.15005    ])
[0.23137952 2.14790262]
812     , -620.163    , array([ 0.336331   ,  0.770472   ])
814     , -394.804    , array([ 0.243198   ,  1.98491    ])
816     , -394.795    , array([ 0.243198   ,  1.98689    ])
[0.24319792 1.98490757]
818     , -855.069    , array([ 0.336331   ,  0.506166   ])
820     , -433.32     , array([ 0.33849    ,  1.37586    ])
822     , -433.16     , array([ 0.33849    ,  1.37724    ])
[0.33849015 1.37586314]
824     , -530.683    , array([ 0.336331   ,  0.946678   ])
826     , -393.846    , array([ 0.22045    ,  2.34449    ])
